"","arrival_port","TotalValue"
"1","Alice Springs",604.730769230769
"2","Brisbane",341.128865979381
"3","Cairns",358.436170212766
"4","Canberra",469.544378698225
"5","Darwin",581.296116504854
"6","Emerald",424.953216374269
"7","Gladstone",313.906432748538
"8","Gold Coast",301.8
"9","Hamilton Island",422.556886227545
"10","Hobart",422.669811320755
"11","Mackay",224.894736842105
"12","Melbourne",322.588647959184
"13","Mildura",313.035087719298
"14","Moranbah",531.633333333333
"15","Mount Isa",858.549707602339
"16","Newcastle",185.698507462687
"17","Newman",740.304093567251
"18","Perth",635.824464409122
"19","Port Hedland",719.812865497076
"20","Port Lincoln",314.538011695906
"21","Proserpine",261.470238095238
"22","Rockhampton",288.625730994152
"23","Roma",501.1875
"24","Sydney",324.433098591549
"25","Tamworth",320.111111111111
"26","Townsville",342.573426573427
"27","Wagga Wagga",347.713450292398
